Debate,Friendly Name,City,State,Location,Date
13_republican_debate.txt,13th GOP Debate,Salt Lake City,Utah,,2016-03-21
12_republican_debate.txt,12th GOP Debate,Miami,Florida,University of Miami,2016-03-10
11_republican_debate.txt,11th GOP Debate,Detroit,Michigan,The Fox Theater,2016-03-03
10_republican_debate.txt,10th GOP Debate,Houston,Texas,,2016-02-25
9_republican_debate.txt,9th GOP Debate,Greenville,South Carolina,The Peace Center,2016-02-13
8_republican_debate.txt,8th GOP Debate,Manchester,New Hampshire,St. Anselm's College Institute of Politics,2016-02-06
7_republican_debate.txt,7th GOP Debate,Des Moines,Iowa,Iowa Events Center,2016-01-28
6_republican_debate.txt,6th GOP Debate,Charleston,South Carolina,North Charleston Coliseum and Performing Arts Center,2016-01-14
5_republican_debate.txt,5th GOP Debate,Las Vegas,Nevada,The Venetian,2015-12-15
4_republican_debate.txt,4th GOP Debate,Milwaukee,Wisconsin,Milwaukee Theatre,2015-11-10
3_republican_debate.txt,3rd GOP Debate,Boulder,Colorado,University of Colorado Boulder,2015-10-28
2_republican_debate.txt,2nd GOP Debate,Simi Valley,California,Reagan Library,2015-09-16
1_republican_debate.txt,1st GOP Debate,Cleveland,Ohio,Quicken Loans Arena,2015-08-06
