Speaker,Word,Frequency,Debate
KASICH,washington,7,12_republican_debate.txt
KASICH,democrats,2,12_republican_debate.txt
KASICH,well,12,12_republican_debate.txt
KASICH,battery,1,12_republican_debate.txt
KASICH,enemy,2,12_republican_debate.txt
KASICH,provisions,1,12_republican_debate.txt
KASICH,programs,3,12_republican_debate.txt
KASICH,board,2,12_republican_debate.txt
KASICH,chinese,3,12_republican_debate.txt
KASICH,ask,1,12_republican_debate.txt
KASICH,many,6,12_republican_debate.txt
KASICH,talents,1,12_republican_debate.txt
KASICH,need,15,12_republican_debate.txt
KASICH,stand,3,12_republican_debate.txt
KASICH,ahead,2,12_republican_debate.txt
KASICH,realize,1,12_republican_debate.txt
KASICH,frankly,4,12_republican_debate.txt
KASICH,order,1,12_republican_debate.txt
KASICH,run,4,12_republican_debate.txt
KASICH,entitlement,2,12_republican_debate.txt
KASICH,throughout,1,12_republican_debate.txt
KASICH,hole,1,12_republican_debate.txt
KASICH,across,2,12_republican_debate.txt
KASICH,expects,1,12_republican_debate.txt
KASICH,intended,1,12_republican_debate.txt
KASICH,initial,1,12_republican_debate.txt
KASICH,district,1,12_republican_debate.txt
KASICH,school,5,12_republican_debate.txt
KASICH,mistake,1,12_republican_debate.txt
KASICH,rings,2,12_republican_debate.txt
KASICH,strength,3,12_republican_debate.txt
KASICH,families,2,12_republican_debate.txt
KASICH,entirely,1,12_republican_debate.txt
KASICH,private,1,12_republican_debate.txt
KASICH,spread,1,12_republican_debate.txt
KASICH,human,1,12_republican_debate.txt
KASICH,arguing,1,12_republican_debate.txt
KASICH,spent,1,12_republican_debate.txt
KASICH,three,1,12_republican_debate.txt
KASICH,training,1,12_republican_debate.txt
KASICH,fund,1,12_republican_debate.txt
KASICH,cleveland,1,12_republican_debate.txt
KASICH,prices,1,12_republican_debate.txt
KASICH,red,1,12_republican_debate.txt
KASICH,front,2,12_republican_debate.txt
KASICH,balanced,6,12_republican_debate.txt
KASICH,ufo,1,12_republican_debate.txt
KASICH,world,6,12_republican_debate.txt
KASICH,faces,1,12_republican_debate.txt
KASICH,buckeyes,1,12_republican_debate.txt
KASICH,proceed,1,12_republican_debate.txt
KASICH,including,2,12_republican_debate.txt
KASICH,seventh,1,12_republican_debate.txt
KASICH,eliminated,1,12_republican_debate.txt
KASICH,campaign,2,12_republican_debate.txt
KASICH,growing,1,12_republican_debate.txt
KASICH,schools,2,12_republican_debate.txt
KASICH,drive,1,12_republican_debate.txt
KASICH,agreement,1,12_republican_debate.txt
KASICH,absolutely,3,12_republican_debate.txt
KASICH,monkey,1,12_republican_debate.txt
KASICH,course,2,12_republican_debate.txt
KASICH,armed,1,12_republican_debate.txt
KASICH,require,1,12_republican_debate.txt
KASICH,start,1,12_republican_debate.txt
KASICH,happening,1,12_republican_debate.txt
KASICH,woman,1,12_republican_debate.txt
KASICH,heat,1,12_republican_debate.txt
KASICH,standards,6,12_republican_debate.txt
KASICH,egypt,1,12_republican_debate.txt
KASICH,currency,1,12_republican_debate.txt
KASICH,retirement,2,12_republican_debate.txt
KASICH,secondly,4,12_republican_debate.txt
KASICH,freedom,1,12_republican_debate.txt
KASICH,chief,2,12_republican_debate.txt
KASICH,unleash,1,12_republican_debate.txt
KASICH,stood,2,12_republican_debate.txt
KASICH,ever,1,12_republican_debate.txt
KASICH,stringent,1,12_republican_debate.txt
KASICH,train,1,12_republican_debate.txt
KASICH,reagan,1,12_republican_debate.txt
KASICH,lethal,1,12_republican_debate.txt
KASICH,maybe,2,12_republican_debate.txt
KASICH,renewables,2,12_republican_debate.txt
KASICH,turn,3,12_republican_debate.txt
KASICH,theory,2,12_republican_debate.txt
KASICH,supporting,1,12_republican_debate.txt
KASICH,arm,2,12_republican_debate.txt
KASICH,miami,1,12_republican_debate.txt
KASICH,aid,1,12_republican_debate.txt
KASICH,problem,3,12_republican_debate.txt
KASICH,president,7,12_republican_debate.txt
KASICH,wrong,1,12_republican_debate.txt
KASICH,really,1,12_republican_debate.txt
KASICH,iranian,1,12_republican_debate.txt
KASICH,backing,1,12_republican_debate.txt
KASICH,europeans,1,12_republican_debate.txt
KASICH,mean,7,12_republican_debate.txt
KASICH,connecting,1,12_republican_debate.txt
KASICH,defense,1,12_republican_debate.txt
KASICH,redraw,1,12_republican_debate.txt
KASICH,tunnels,1,12_republican_debate.txt
KASICH,positive,4,12_republican_debate.txt
KASICH,five,1,12_republican_debate.txt
KASICH,tank,1,12_republican_debate.txt
